step,completed_agents,J1,J2,blocked_agents,step_time
522,46,11,0,2,0.020727872848510742
523,46,11,0,2,0.02104353904724121
524,46,11,0,2,0.02164459228515625
525,46,11,0,2,0.02090144157409668
526,46,11,0,2,0.02253866195678711
527,46,11,0,2,0.02067279815673828
528,46,11,0,2,0.020862102508544922
529,46,11,0,2,0.020915985107421875
530,46,11,0,2,0.020771026611328125
531,46,11,0,2,0.021302461624145508
532,46,11,0,2,0.02182173728942871
533,46,11,0,2,0.02077484130859375
534,46,11,0,2,0.020780563354492188
535,46,11,0,2,0.021585464477539062
536,46,11,0,2,0.021451234817504883
537,46,11,0,2,0.020914793014526367
538,46,11,0,2,0.021647930145263672
539,46,11,0,2,0.023057222366333008
540,46,11,0,2,0.023635149002075195
541,46,11,0,2,0.020569324493408203
542,46,11,0,2,0.020897865295410156
543,46,11,0,2,0.02319169044494629
544,46,11,0,2,0.020866870880126953
545,46,11,0,2,0.022868871688842773
546,46,11,0,2,0.021318912506103516
547,46,11,0,2,0.02332162857055664
548,46,11,0,2,0.02292156219482422
549,46,11,0,2,0.02066826820373535
550,46,11,0,2,0.020827770233154297
551,46,11,0,2,0.021393775939941406
552,46,11,0,2,0.02841043472290039
553,46,11,0,2,0.020621061325073242
554,46,11,0,2,0.020861387252807617
555,46,11,0,2,0.016632556915283203
556,46,11,0,2,0.02207660675048828
557,46,11,0,2,0.022275924682617188
558,46,11,0,2,0.02119922637939453
559,46,11,0,2,0.023638010025024414
560,46,11,0,2,0.022415876388549805
561,46,11,0,2,0.021817445755004883
562,46,11,0,2,0.00689244270324707
563,46,11,0,2,0.0226287841796875
564,46,11,0,2,0.022668123245239258
565,46,11,0,2,0.020877838134765625
566,46,11,0,2,0.021459341049194336
567,46,11,0,2,0.02187037467956543
568,46,11,0,2,0.020893335342407227
569,46,11,0,2,0.02102065086364746
570,46,11,0,2,0.02251124382019043
571,46,11,0,2,0.023324251174926758
572,46,11,0,2,0.0208127498626709
573,46,11,0,2,0.020731210708618164
574,46,11,0,2,0.027610301971435547
575,46,11,0,2,0.02132558822631836
576,46,11,0,2,0.02132868766784668
