step,completed_agents,J1,J2,blocked_agents,step_time
222,29,6,0,0,0.007725954055786133
223,29,6,0,0,0.007869720458984375
224,29,6,0,0,0.008155584335327148
225,29,6,0,0,0.008741140365600586
226,29,6,0,0,0.014111995697021484
227,29,6,0,0,0.00805044174194336
228,29,6,0,0,0.009341239929199219
229,29,6,0,0,0.007922172546386719
230,28,8,0,0,0.0034706592559814453
231,28,8,0,0,0.007593870162963867
232,28,8,0,0,0.011415243148803711
233,28,8,0,0,0.007745504379272461
234,28,8,0,0,0.00833272933959961
235,28,8,0,0,0.010003089904785156
236,28,8,0,0,0.007804155349731445
237,28,8,0,0,0.007707357406616211
238,29,7,0,1,0.0077588558197021484
239,29,7,0,0,0.008187532424926758
240,29,7,0,0,0.007993936538696289
241,29,7,0,0,0.007857561111450195
242,29,7,0,0,0.007768392562866211
243,29,7,0,0,0.018861055374145508
244,29,7,0,0,0.00758814811706543
245,29,7,0,0,0.007503986358642578
246,29,7,0,0,0.007681846618652344
247,29,7,0,0,0.0075604915618896484
248,29,7,0,0,0.007540702819824219
249,29,3,0,1,0.00844717025756836
250,29,3,0,0,0.007531166076660156
251,29,3,0,0,0.007658481597900391
252,29,3,0,0,0.007802248001098633
253,29,3,0,0,0.0075266361236572266
254,29,3,0,0,0.011197566986083984
255,29,3,0,0,0.0076143741607666016
256,29,3,0,0,0.007577180862426758
257,29,3,0,0,0.007573366165161133
258,29,3,0,0,0.007668972015380859
259,29,3,0,0,0.007627725601196289
260,29,3,0,0,0.007688760757446289
261,29,3,0,0,0.007656574249267578
262,29,3,0,0,0.007725715637207031
263,29,3,0,0,0.007015228271484375
264,29,3,0,0,0.007802724838256836
265,29,3,0,0,0.007878780364990234
266,29,3,0,0,0.008623361587524414
267,29,3,0,0,0.008996248245239258
268,29,3,0,0,0.007582664489746094
269,29,3,0,0,0.00825953483581543
270,29,3,0,0,0.007836580276489258
271,29,3,0,0,0.00788736343383789
272,29,3,0,0,0.0075719356536865234
273,29,3,0,0,0.007946252822875977
274,29,3,0,0,0.007620573043823242
275,29,3,0,0,0.00831747055053711
276,29,3,0,0,0.008681535720825195
277,29,3,0,0,0.011359691619873047
278,29,3,0,0,0.007598161697387695
279,29,3,0,0,0.00787353515625
